2020-07-30 13:49:13 INFO  CommonUtility 55 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/test/resource/SAP_TestData.xlsx
2020-07-30 13:49:20 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (cf42d9be765670996d6ca469850f31e7)] -> id: sapStoreRegisterFormSubmit]
2020-07-30 13:49:22 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (cf42d9be765670996d6ca469850f31e7)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:49:23 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (cf42d9be765670996d6ca469850f31e7)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:49:23 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: chrome on LINUX (cf42d9be765670996d6ca469850f31e7)] -> xpath: //a[@title='Close']]
2020-07-30 13:49:23 INFO  SignUpTest 53 - Browser closed
2020-07-30 13:49:24 INFO  SignUpTest 30 - Test running on browser: firefox
2020-07-30 13:49:24 INFO  CommonUtility 37 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/main/java/com/sap/properties/config.properties
2020-07-30 13:49:24 INFO  CommonUtility 44 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/main/java/com/sap/properties/log4j.properties
2020-07-30 13:49:24 INFO  BrowserUtility 31 - Launching Browser: firefox
2020-07-30 13:49:50 INFO  SignUpTest 40 - Automation running on: Web
2020-07-30 13:49:50 INFO  SignUpTest 41 - Environment is: stage
2020-07-30 13:49:51 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (d8d55829-2e6d-44db-ade6-9746ddb40268)] -> xpath: //div[text()='OK']]
2020-07-30 13:49:52 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (d8d55829-2e6d-44db-ade6-9746ddb40268)] -> xpath: //div[text()='Sign up']]
2020-07-30 13:49:56 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (d8d55829-2e6d-44db-ade6-9746ddb40268)] -> xpath: //h1[text()='Registration']]
2020-07-30 13:49:56 INFO  SignUpPage 71 - Pop Up text is: Registration
2020-07-30 13:49:56 INFO  CommonUtility 55 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/test/resource/SAP_TestData.xlsx
2020-07-30 13:49:59 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (d8d55829-2e6d-44db-ade6-9746ddb40268)] -> id: sapStoreRegisterFormSubmit]
2020-07-30 13:50:02 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (d8d55829-2e6d-44db-ade6-9746ddb40268)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:50:03 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (d8d55829-2e6d-44db-ade6-9746ddb40268)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:50:03 INFO  BrowserUtility 51 - Displayed [[RemoteWebDriver: firefox on LINUX (d8d55829-2e6d-44db-ade6-9746ddb40268)] -> xpath: //a[@title='Close']]
2020-07-30 13:50:10 INFO  SignUpTest 53 - Browser closed
2020-07-30 13:53:10 INFO  BrowserUtility 24 - Launching Browser: chrome
2020-07-30 13:53:23 INFO  SignUpTest 39 - Automation running on: Web
2020-07-30 13:53:23 INFO  SignUpTest 40 - Environment is: stage
2020-07-30 13:53:24 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: chrome on LINUX (62b131681fa5055b4b4e8d373d50e42d)] -> xpath: //div[text()='OK']]
2020-07-30 13:53:25 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: chrome on LINUX (62b131681fa5055b4b4e8d373d50e42d)] -> xpath: //div[text()='Sign up']]
2020-07-30 13:53:29 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: chrome on LINUX (62b131681fa5055b4b4e8d373d50e42d)] -> xpath: //h1[text()='Registration']]
2020-07-30 13:53:29 INFO  SignUpPage 71 - Pop Up text is: Registration
2020-07-30 13:53:29 INFO  CommonUtility 52 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/test/resource/SAP_TestData.xlsx
2020-07-30 13:53:33 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: chrome on LINUX (62b131681fa5055b4b4e8d373d50e42d)] -> id: sapStoreRegisterFormSubmit]
2020-07-30 13:53:35 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: chrome on LINUX (62b131681fa5055b4b4e8d373d50e42d)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:53:36 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: chrome on LINUX (62b131681fa5055b4b4e8d373d50e42d)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
2020-07-30 13:53:36 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: chrome on LINUX (62b131681fa5055b4b4e8d373d50e42d)] -> xpath: //a[@title='Close']]
2020-07-30 13:53:36 INFO  SignUpTest 52 - Browser closed
2020-07-30 13:53:37 INFO  SignUpTest 30 - Test running on browser: firefox
2020-07-30 13:53:37 INFO  CommonUtility 37 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/main/java/com/sap/properties/config.properties
2020-07-30 13:53:37 INFO  CommonUtility 44 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/main/java/com/sap/properties/log4j.properties
2020-07-30 13:53:37 INFO  BrowserUtility 30 - Launching Browser: firefox
2020-07-30 13:54:00 INFO  SignUpTest 39 - Automation running on: Web
2020-07-30 13:54:00 INFO  SignUpTest 40 - Environment is: stage
2020-07-30 13:54:01 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: firefox on LINUX (c78d4c89-f475-4beb-aee5-3b0eb303053d)] -> xpath: //div[text()='OK']]
2020-07-30 13:54:02 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: firefox on LINUX (c78d4c89-f475-4beb-aee5-3b0eb303053d)] -> xpath: //div[text()='Sign up']]
2020-07-30 13:54:06 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: firefox on LINUX (c78d4c89-f475-4beb-aee5-3b0eb303053d)] -> xpath: //h1[text()='Registration']]
2020-07-30 13:54:06 INFO  SignUpPage 71 - Pop Up text is: Registration
2020-07-30 13:54:06 INFO  CommonUtility 52 - Current dir using System:/Users/ravi.kone/Documents/Test-WorkSpace/SAPFrameWork/src/test/resource/SAP_TestData.xlsx
2020-07-30 13:54:10 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: firefox on LINUX (c78d4c89-f475-4beb-aee5-3b0eb303053d)] -> id: sapStoreRegisterFormSubmit]
2020-07-30 13:54:14 INFO  BrowserUtility 49 - Displayed [[RemoteWebDriver: firefox on LINUX (c78d4c89-f475-4beb-aee5-3b0eb303053d)] -> xpath: //h1[text()='Thank you for registering with SAP Conversational AI']]
